"region_id","region_name","area","Long","Lat","STATE","DEATHS","Age_0_4_yr_M","Age_0_4_yr_F","Age_5_14_yr_M","Age_5_14_yr_F","Age_15_19_yr_M","Age_15_19_yr_F","Age_20_24_yr_M","Age_20_24_yr_F","Age_25_34_yr_M","Age_25_34_yr_F","Age_35_44_yr_M","Age_35_44_yr_F","Age_45_54_yr_M","Age_45_54_yr_F","Age_55_64_yr_M","Age_55_64_yr_F","Age_65_74_yr_M","Age_65_74_yr_F","Age_75_84_yr_M","Age_75_84_yr_F","Age_85ov_M","Age_85ov_F","EXPDEATHS","Tot_P_M","Tot_P_F","Tot_P_P","Indig_Bth_Abor_Torres_St_Is_P","Birthplace_Australia_P","Lang_spoken_home_Eng_only_P","Australian_citizen_P","High_yr_schl_comp_Yr_12_eq_P","Count_psns_occ_priv_dwgs_P","Level.MEDIAN_MORTGAGE_REPAYMENT","Level.MEDIAN_HOUSEHOLD_WEEKLY_INCOME","Level.AVERAGE_HOUSEHOLD_SIZE","P_Tot_Marrd_reg_marrge","P_Tot_Married_de_facto","P_Tot_Not_married","Aust_Both_parents_born_Aust","Christianity_Tot_P","Islam_P","No_Religion_P","P_DNGTS_Tot","P_Tot_Volunteer","P_LonePsn_Tot","Total_dwelings","OPDs_Separate_house_Dwellings","O_OR_Total","O_MTG_Total","R_Tot_Total","P_PGrad_Deg_Total","P_BachDeg_Total","P_Health_Tot","P_Emp_FullT_Tot","P_Unem_look_Tot_Tot","Prop.ATSI","Prop.BORN_IN_AUS","Prop.SPEAK_ONLY_ENGLISH","Prop.AUS_CITIZEN","Prop.PARENTS_BORN_AUS","Prop.IN_PRIVATE_DWELLING","Prop.REGISTERED_MARRIAGE","Prop.DE_FACTO_MARRIAGE","Prop.NOT_MARRIED","Prop.CHRISTIAN","Prop.ISLAM","Prop.NO_RELIGION","Prop.NO_SCHOOLING","Prop.COMPLETED_HIGH_SCHOOL","Prop.BACHELOR_DEGREE","Prop.POST_GRADUATE","Prop.VOLUNTEERING","Prop.LIVE_ALONE","Prop.SEPARATE_HOUSES","Prop.OWNED_OUTRIGHT","Prop.OWNED_WITH_MORTGAGE","Prop.RENTED_ACCOM","Prop.FULL_TIME_EMPLOYED","Prop.UNEMPLOYED_AND_LOOKING","Prop.EMPLOYED_IN_HEALTH"
"507031173","Kwinana Industrial",16.7145236298802,115.77561697,-32.21970085,"WA",0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,3,0,0,0,0,0,0.0881022211728613,10,0,10,0,7,10,9,7,3,0,0,0,3,0,3,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.7,1,1,0,0.3,0.3,0,0.3,0.6,0,0.5,0,0.7,0,0,0,0,NA,NA,NA,NA,0.6,0,0
"507031174","Parmelia - Orelia",7.82766343467786,115.82480773,-32.24169178,"WA",42,466,468,771,711,407,349,354,401,855,894,802,781,663,639,550,569,363,348,178,186,33,52,50.606703802578,5442,5398,10840,0,6943,9063,8674,2649,10059,1517,1080,2.6,3079,1106,3373,2612,5810,91,3203,35,851,987,3965,3471,823,1797,1214,49,381,194,2967,416,0,0.64049815498155,0.836070110701107,0.836070110701107,0.240959409594096,0.927952029520295,0.284040590405904,0.102029520295203,0.311162361623616,0.535977859778598,0.00839483394833948,0.295479704797048,0.00322878228782288,0.244372693726937,0.0351476014760148,0.00452029520295203,0.0785055350553506,0.0910516605166052,0.875409836065574,0.207566204287516,0.453215636822194,0.306179066834805,0.273708487084871,0.0383763837638376,0.0178966789667897
"507041175","Applecross - Ardross",5.42801553010187,115.83608486,-32.01916624,"WA",57,217,231,679,618,379,410,403,428,565,517,626,676,742,907,700,785,444,469,253,315,100,161,87.3578064897926,5109,5517,10626,0,6042,7998,8410,5880,9671,2600,1918,2.5,4314,440,3141,1923,6543,153,2252,16,1907,908,3900,2973,1703,1068,1040,630,2239,756,3125,210,0,0.568605307735742,0.752682100508188,0.752682100508188,0.180971202710333,0.91012610577828,0.405985319028797,0.041407867494824,0.295595708639187,0.615753811405985,0.0143986448334274,0.21193299454169,0.00150574063617542,0.553359683794466,0.210709580274798,0.0592885375494071,0.179465462074158,0.085450781102955,0.762307692307692,0.436666666666667,0.273846153846154,0.266666666666667,0.294089968003011,0.0197628458498024,0.0711462450592885
"507041176","Bateman",1.95596229685202,115.84736635,-32.05547167,"WA",30,99,81,250,223,181,154,176,164,208,158,212,264,252,304,232,245,164,150,54,86,25,56,26.2416246247207,1852,1886,3738,0,2159,2718,3101,2023,3520,2100,1855,2.9,1558,152,1145,724,2308,52,798,15,654,188,1243,1075,524,443,255,186,695,224,1137,94,0,0.577581594435527,0.727126805778491,0.727126805778491,0.193686463349385,0.941680042803638,0.416800428036383,0.0406634563937935,0.306313536650615,0.617442482611022,0.0139111824505083,0.213483146067416,0.00401284109149278,0.541198501872659,0.185928303905832,0.0497592295345104,0.174959871589085,0.0502942750133761,0.86484312148029,0.421560740144811,0.356395816572808,0.205148833467418,0.304173354735153,0.0251471375066881,0.0599250936329588
"507041177","Bicton - Palmyra",6.32145387792184,115.78597068,-32.0357165,"WA",114,398,354,732,681,330,342,330,346,832,902,911,1058,895,989,732,871,467,554,321,486,120,307,122.411619072289,6069,6890,12959,0,8920,11282,11146,6110,11863,2167,1412,2.2,4318,1089,4193,3008,7885,60,3549,23,2032,1877,5493,3643,1933,1824,1586,504,2065,860,4236,242,0,0.688324716413304,0.870591866656378,0.870591866656378,0.232116675669419,0.915425572960877,0.333204722586619,0.0840342619029246,0.32355891658307,0.608457442703912,0.00462998688170383,0.273863724052782,0.00177482830465314,0.471486997453507,0.15934871517864,0.0388918898063122,0.156802222393703,0.144841422949302,0.663207718914983,0.351902421263426,0.33205898416166,0.288731112324777,0.326877073848291,0.0186742804228721,0.0663631453044216
"507041178","Booragoon",6.78908216528737,115.84244206,-32.03521093,"WA",93,356,303,785,723,482,480,501,493,813,768,797,985,923,1062,889,974,511,610,389,559,163,303,137.361912542265,6610,7260,13870,0,8076,10787,11373,7424,13000,2379,1634,2.5,5614,691,4359,2651,8619,194,3255,27,2358,1361,5326,4444,2264,1578,1321,692,2692,873,4183,297,0,0.58226387887527,0.777721701514059,0.777721701514059,0.191131939437635,0.937274693583273,0.404758471521269,0.0498197548666186,0.314275414563807,0.62141312184571,0.0139870223503965,0.234679163662581,0.00194664744051911,0.535255948089402,0.19408795962509,0.0498918529199712,0.170007209805335,0.0981254506128335,0.834397296282388,0.425084491175366,0.29628238828389,0.248028539241457,0.301586157173756,0.0214131218457102,0.0629416005767844
"507041179","Bull Creek",4.15925189408106,115.8624198,-32.05625402,"WA",66,170,167,426,384,315,267,330,294,372,362,383,427,471,568,551,638,323,312,186,261,101,233,83.9015956133733,3628,3913,7541,0,4135,5402,6178,3963,7079,2000,1564,2.6,3198,304,2389,1452,4446,88,1738,21,1330,587,2738,2257,1189,850,479,382,1345,442,2230,182,0,0.548335764487468,0.716350616629094,0.716350616629094,0.192547407505636,0.938734915793661,0.424081686778942,0.0403129558414003,0.316801485214163,0.58957697918048,0.0116695398488264,0.230473412014322,0.00278477655483358,0.525527118419308,0.178358307916722,0.0506564116164965,0.176369181806127,0.0778411351279671,0.824324324324324,0.434258582907232,0.310445580715851,0.174945215485756,0.295716748441851,0.024134730141891,0.0586129160588781
"507041180","Leeming",6.68751300212579,115.86613471,-32.07510975,"WA",30,296,255,746,655,519,472,514,432,523,512,617,732,899,1044,941,910,333,310,129,142,32,80,53.7522651501548,5549,5544,11093,0,6912,9068,9542,5675,10727,1900,2120,3,4985,453,3190,2592,7013,107,2700,23,1779,481,3709,3543,1602,1575,465,375,1826,596,3898,246,0,0.623095645902822,0.817452447489408,0.817452447489408,0.233660867213558,0.967006220138826,0.449382493464347,0.0408365635986658,0.287568737041377,0.632200486793473,0.00964572252772018,0.24339673668079,0.00207337960876228,0.511583881727215,0.164608311547823,0.0338051023167763,0.160371405390787,0.0433606779049851,0.955244001078458,0.431922351038016,0.424642760851982,0.125370719870585,0.351392770215451,0.0221761471198053,0.0537275759487965
"507041181","Melville",7.88367808631105,115.80638209,-32.03373689,"WA",94,520,448,1030,1052,446,599,413,413,755,839,1155,1219,1083,1159,770,820,520,640,504,646,145,278,140.787633634868,7342,8113,15455,0,10757,13258,13511,7279,14432,2260,1625,2.5,6176,842,4282,3814,10206,74,3610,42,2554,1473,5828,4753,2438,1997,1204,593,2551,942,4572,268,0,0.696020705273374,0.857845357489486,0.857845357489486,0.246780977030087,0.933807829181495,0.399611776124232,0.0544807505661598,0.277062439340019,0.66036881268198,0.00478809446780977,0.233581365253963,0.00271756713037852,0.470980265286315,0.165059851180848,0.0383694597217729,0.165253963118732,0.0953089615011323,0.815545641729581,0.418325326012354,0.342656142759094,0.206588881262869,0.29582659333549,0.0173406664509867,0.0609511484956325
"507041182","Murdoch - Kardinya",8.64589702223049,115.8260433,-32.06770914,"WA",74,238,242,592,599,557,555,711,657,758,666,611,685,828,968,751,778,462,480,298,404,96,178,96.0062960161164,5902,6213,12115,5,6896,8566,9663,6203,11556,1993,1389,2.7,4755,546,4393,2199,7663,202,2581,49,1943,870,4364,3375,1870,1317,930,423,1894,591,3531,352,0.000412711514651259,0.569211721007016,0.707057366900537,0.707057366900537,0.181510524143624,0.953858852661989,0.392488650433347,0.0450680973999175,0.362608336772596,0.632521667354519,0.0166735451919109,0.21304168386298,0.00404457284358234,0.512009905076352,0.156335121749897,0.0349153941394965,0.160379694593479,0.071811803549319,0.773373052245646,0.428505957836847,0.301787351054079,0.213107241063245,0.291456871646719,0.0290548906314486,0.0487825010317788
